State,HF,HFhat,logdeaths,deaths
District of Columbia,0,1.76,2.79,620
North Dakota,0,1.76,1.28,19
Vermont,0,1.76,1.79,62
Wyoming,0,1.76,1.15,14
Delaware,0.043356588,1.77,2.67,469
Rhode Island,0.130199411,1.80,2.72,519
New York City,0.218341621,1.83,4.41,25700
Hawaii,0.273106224,1.85,1.04,11
Maine,0.535821023,1.94,0.48,3
Nevada,0.710256007,2.00,1.94,88
New Mexico,0.926391918,2.08,2.56,361
New Hampshire,1.018036959,2.11,2.16,143
Puerto Rico,1.151410478,2.15,2.13,134
Washington,1.393077352,2.24,2.43,267
Arizona,1.593199561,2.30,3.52,3313
Idaho,1.627057098,2.32,1.00,10
Iowa,2.008654596,2.45,2.28,189
West Virginia,2.11124111,2.48,1.11,13
Maryland,2.272351898,2.54,3.57,3744
Oklahoma,2.491353258,2.61,1.49,31
Florida,2.55520964,2.63,3.61,4038
Nebraska,2.619555822,2.65,1.61,41
Tennessee,2.675503807,2.67,2.41,260
Colorado,3.179555754,2.85,3.19,1556
New York,3.347751303,2.90,4.08,12138
California,3.449988039,2.94,3.78,5976
Minnesota,3.453877754,2.94,2.92,835
Texas,3.660414802,3.01,3.83,6766
Arkansas,3.668646832,3.01,2.14,139
South Carolina,3.696950057,3.02,3.17,1496
Indiana,3.845772702,3.07,3.34,2170
Wisconsin,3.892389003,3.09,2.37,233
Ohio,3.896428662,3.09,3.45,2829
North Carolina,4.034779785,3.14,2.69,487
New Jersey,4.055913192,3.15,4.21,16176
Kentucky,4.375484195,3.26,2.44,274
Connecticut,4.425564616,3.27,3.69,4954
Virginia,4.46146636,3.28,3.33,2124
Pennsylvania,4.532168217,3.31,4.05,11121
Massachusetts,4.532214638,3.31,3.85,7020
Michigan,4.654564112,3.35,3.86,7212
Illinois,4.900795223,3.43,3.88,7612
Missouri,4.904849725,3.44,2.63,424
Georgia,5.273170202,3.56,3.34,2209
Mississippi,5.999852885,3.81,3.15,1423
Alabama,6.145787952,3.86,3.04,1085
Louisiana,6.242940458,3.89,3.430397591,3136
