State,Others,logdeaths,Othershat,
Alabama,0,3.04,1.684898,1085
Arizona,0,3.52,1.684898,3313
Arkansas,0,2.14,1.684898,139
California,0,3.78,1.684898,5976
Colorado,0,3.19,1.684898,1556
Connecticut,0.041115603,3.69,1.684898,4954
Delaware,0.077619664,2.67,1.684898,469
District of Columbia,0.227404052,2.79,1.684898,620
Florida,0.289946281,3.61,1.684898,4038
Georgia,0.343693963,3.34,1.684898,2209
Hawaii,0.367931836,1.04,1.684898,11
Idaho,0.507436978,1.00,2.105121,10
Illinois,0.889981464,3.88,2.105121,7612
Indiana,1.145368336,3.34,2.105121,2170
Iowa,1.229515426,2.28,2.105121,189
Kentucky,1.483891641,2.44,2.105121,274
Louisiana,1.567669712,3.50,2.525345,3136
Maine,2.171109876,0.48,2.525345,3
Maryland,2.400145992,3.57,2.525345,3744
Massachusetts,2.443033038,3.85,2.525345,7020
Michigan,2.473611491,3.86,2.525345,7212
Minnesota,2.544607893,2.92,2.945569,835
Mississippi,2.646582846,3.15,2.945569,1423
Missouri,2.721220962,2.63,2.945569,424
Nebraska,2.736142344,1.61,2.945569,41
Nevada,2.7722955,1.94,2.945569,88
New Hampshire,2.913097048,2.16,2.945569,143
New Jersey,2.942051052,4.21,2.945569,16176
New Mexico,2.965190882,2.56,2.945569,361
New York,3.045548666,4.08,2.945569,12138
New York City,3.092527951,4.41,2.945569,25700
North Carolina,3.094823959,2.69,2.945569,487
North Dakota,3.175841319,1.28,2.945569,19
Ohio,3.210915433,3.45,2.945569,2829
Oklahoma,3.310671629,1.49,2.945569,31
Pennsylvania,3.31143941,4.05,2.945569,11121
Puerto Rico,3.341716504,2.13,2.945569,134
Rhode Island,3.387011271,2.72,2.945569,519
South Carolina,3.408501565,3.17,2.945569,1496
Tennessee,3.519572029,2.41,3.365792,260
Texas,3.57645052,3.83,3.365792,6766
Vermont,3.639584354,1.79,3.365792,62
Virginia,3.673406055,3.33,3.365792,2124
Washington,3.689155128,2.43,3.365792,267
West Virginia,3.703058185,1.11,3.365792,13
Wisconsin,4.133543953,2.37,3.365792,233
Wyoming,4.489674886,1.15,3.365792,14
